unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,year
DMP,43,294,259,324,9,1538,118,142,589,2050,6766,358,77,10405,88,10928,23060,2011
CMP,16,66,83,43,15,408,30,19,125,355,1304,89,4,1541,28,1662,4126,2011
KMP,3,13,23,17,0,171,12,10,57,92,478,14,3,495,9,521,1397,2011
RMP,2,14,18,3,3,146,16,11,55,101,665,8,1,253,199,461,1495,2011
BMP,18,8,15,12,0,147,9,12,40,88,564,11,0,196,80,287,1200,2011
SMP,9,24,37,42,1,158,16,16,31,129,857,8,0,178,32,218,1538,2011
Dhaka Range,160,174,1199,361,17,4838,144,117,607,1731,19993,260,25,7497,1076,8858,38199,2011
Mymensingh Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
Chittagong Range,164,116,640,241,10,4397,105,116,458,1130,13846,192,20,4122,555,4889,26112,2011
Sylhet Range,60,42,283,58,19,987,40,27,177,481,5473,19,0,1464,190,1673,9320,2011
Khulna Range,58,124,414,105,5,2796,119,32,395,902,10452,152,60,2168,1047,3427,18829,2011
Barisal Range,33,43,194,473,8,1060,60,20,214,331,6611,41,6,350,19,416,9463,2011
Rajshahi Range,81,146,780,179,22,4735,121,58,385,1388,21174,114,11,2763,2276,5164,34233,2011
Rangpur Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
Railway Range,3,5,21,5,0,8,2,1,1,95,172,3,0,264,115,382,695,2011
GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
RPMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
ATU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
Total,650,1069,3966,1863,109,21389,792,581,3134,8873,88355,1269,207,31696,5714,38886,169667,2011
