unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year,is_annual_total,source_pdf
DMP,2.0,33,16,4,0.0,134,13,9,31,92,528,10,4,485,4,503,1365.0,May,2026,False,crime-statistics-may-2026.pdf
CMP,0.0,3,6,0,0.0,45,1,3,12,20,166,4,0,207,2,213,469.0,May,2026,False,crime-statistics-may-2026.pdf
KMP,1.0,4,3,1,0.0,18,2,1,1,13,39,0,0,66,0,66,149.0,May,2026,False,crime-statistics-may-2026.pdf
RMP,0.0,4,3,1,0.0,19,4,0,2,13,63,1,1,70,0,72,181.0,May,2026,False,crime-statistics-may-2026.pdf
BMP,0.0,0,2,3,0.0,32,2,0,4,8,62,2,0,76,0,78,191.0,May,2026,False,crime-statistics-may-2026.pdf
SMP,2.0,0,4,7,0.0,15,1,2,3,20,51,0,0,56,22,78,183.0,May,2026,False,crime-statistics-may-2026.pdf
RPMP,0.0,0,0,2,0.0,11,0,0,5,7,29,1,0,91,0,92,146.0,May,2026,False,crime-statistics-may-2026.pdf
GMP,1.0,7,5,3,0.0,36,7,3,2,24,110,13,0,150,0,163,361.0,May,2026,False,crime-statistics-may-2026.pdf
Dhaka Range,8.0,29,72,12,2.0,388,16,10,51,140,1274,18,0,1555,2,1575,3577.0,May,2026,False,crime-statistics-may-2026.pdf
Mymensingh Range,1.0,5,14,2,0.0,109,1,0,5,38,378,0,0,448,50,498,1051.0,May,2026,False,crime-statistics-may-2026.pdf
Chittagong Range,8.0,27,71,9,0.0,254,18,10,51,117,1236,36,0,1128,39,1203,3004.0,May,2026,False,crime-statistics-may-2026.pdf
Sylhet Range,5.0,14,14,1,0.0,74,1,2,7,44,381,0,0,271,45,316,859.0,May,2026,False,crime-statistics-may-2026.pdf
Khulna Range,5.0,12,29,24,0.0,165,9,2,30,59,707,14,3,712,30,759,1801.0,May,2026,False,crime-statistics-may-2026.pdf
Barishal Range,3.0,5,20,6,2.0,225,2,2,32,23,480,4,0,370,1,375,1175.0,May,2026,False,crime-statistics-may-2026.pdf
