source,page,month,year,unit,column,note
crime-statistics-2019.pdf,0,January,2019,DMP,dacoity,
crime-statistics-2019.pdf,0,January,2019,CMP,robbery,
crime-statistics-2019.pdf,0,January,2019,CMP,kidnapping,
crime-statistics-2019.pdf,0,January,2019,CMP,burglary,
crime-statistics-2019.pdf,0,January,2019,CMP,r_smuggling,
crime-statistics-2019.pdf,0,January,2019,KMP,dacoity,
crime-statistics-2019.pdf,0,January,2019,KMP,r_smuggling,
crime-statistics-2019.pdf,0,January,2019,RMP,murder,
crime-statistics-2019.pdf,0,January,2019,RMP,speedy_trial,
crime-statistics-2019.pdf,0,January,2019,RMP,riot,
crime-statistics-2019.pdf,0,January,2019,BMP,murder,
crime-statistics-2019.pdf,0,January,2019,BMP,woman_child_repression,
crime-statistics-2019.pdf,0,January,2019,BMP,kidnapping,
crime-statistics-2019.pdf,0,January,2019,BMP,r_arms_act,
crime-statistics-2019.pdf,0,January,2019,RPMP,speedy_trial,
crime-statistics-2019.pdf,0,January,2019,GMP,burglary,
crime-statistics-2019.pdf,0,January,2019,GMP,r_smuggling,
crime-statistics-2019.pdf,0,January,2019,Dhaka Range,dacoity,
crime-statistics-2019.pdf,0,January,2019,Dhaka Range,r_explosive_act,
crime-statistics-2019.pdf,0,January,2019,Dhaka Range,r_smuggling,
crime-statistics-2019.pdf,0,January,2019,Mymensingh Range,robbery,
crime-statistics-2019.pdf,0,January,2019,Chittagong Range,r_explosive_act,
crime-statistics-2019.pdf,0,January,2019,Sylhet Range,kidnapping,
crime-statistics-2019.pdf,0,January,2019,Khulna Range,burglary,
crime-statistics-2019.pdf,0,January,2019,Khulna Range,r_explosive_act,
crime-statistics-2019.pdf,0,January,2019,Barishal Range,dacoity,
crime-statistics-2019.pdf,0,January,2019,Barishal Range,r_arms_act,
crime-statistics-2019.pdf,0,January,2019,Rangpur Range,dacoity,
crime-statistics-2019.pdf,0,January,2019,Rangpur Range,r_arms_act,
crime-statistics-2019.pdf,0,January,2019,Total,riot,
crime-statistics-2019.pdf,1,February,2019,DMP,burglary,
crime-statistics-2019.pdf,1,February,2019,CMP,speedy_trial,
crime-statistics-2019.pdf,1,February,2019,CMP,kidnapping,
crime-statistics-2019.pdf,1,February,2019,RMP,speedy_trial,
crime-statistics-2019.pdf,1,February,2019,BMP,robbery,
crime-statistics-2019.pdf,1,February,2019,BMP,burglary,
crime-statistics-2019.pdf,1,February,2019,BMP,r_smuggling,
crime-statistics-2019.pdf,1,February,2019,SMP,r_arms_act,
crime-statistics-2019.pdf,1,February,2019,RPMP,speedy_trial,
crime-statistics-2019.pdf,1,February,2019,RPMP,burglary,
crime-statistics-2019.pdf,1,February,2019,GMP,r_explosive_act,
crime-statistics-2019.pdf,1,February,2019,Total,dacoity,
crime-statistics-2019.pdf,1,February,2019,Total,robbery,
crime-statistics-2019.pdf,1,February,2019,Total,murder,
crime-statistics-2019.pdf,1,February,2019,Total,speedy_trial,
crime-statistics-2019.pdf,1,February,2019,Total,riot,
crime-statistics-2019.pdf,1,February,2019,Total,woman_child_repression,
crime-statistics-2019.pdf,1,February,2019,Total,kidnapping,
crime-statistics-2019.pdf,1,February,2019,Total,police_assault,
crime-statistics-2019.pdf,1,February,2019,Total,burglary,
crime-statistics-2019.pdf,1,February,2019,Total,theft,
crime-statistics-2019.pdf,1,February,2019,Total,other_cases,
crime-statistics-2019.pdf,1,February,2019,Total,r_arms_act,
crime-statistics-2019.pdf,1,February,2019,Total,r_explosive_act,
crime-statistics-2019.pdf,1,February,2019,Total,r_narcotics,
crime-statistics-2019.pdf,1,February,2019,Total,r_smuggling,
crime-statistics-2019.pdf,1,February,2019,Total,total_recovery_cases,
crime-statistics-2019.pdf,1,February,2019,Total,total_cases,
crime-statistics-2019.pdf,2,March,2019,DMP,murder,
crime-statistics-2019.pdf,2,March,2019,CMP,r_explosive_act,
crime-statistics-2019.pdf,2,March,2019,KMP,speedy_trial,
crime-statistics-2019.pdf,2,March,2019,KMP,riot,
crime-statistics-2019.pdf,2,March,2019,KMP,police_assault,
crime-statistics-2019.pdf,2,March,2019,KMP,r_arms_act,
crime-statistics-2019.pdf,2,March,2019,RMP,murder,
crime-statistics-2019.pdf,2,March,2019,BMP,police_assault,
crime-statistics-2019.pdf,2,March,2019,BMP,burglary,
crime-statistics-2019.pdf,2,March,2019,BMP,r_arms_act,
crime-statistics-2019.pdf,2,March,2019,SMP,murder,
crime-statistics-2019.pdf,2,March,2019,SMP,theft,
crime-statistics-2019.pdf,2,March,2019,RPMP,dacoity,
crime-statistics-2019.pdf,2,March,2019,GMP,dacoity,
crime-statistics-2019.pdf,2,March,2019,Dhaka Range,kidnapping,
crime-statistics-2019.pdf,2,March,2019,Chittagong Range,dacoity,
crime-statistics-2019.pdf,2,March,2019,Chittagong Range,speedy_trial,
crime-statistics-2019.pdf,2,March,2019,Barishal Range,police_assault,
crime-statistics-2019.pdf,2,March,2019,Rangpur Range,woman_child_repression,
crime-statistics-2019.pdf,2,March,2019,Rangpur Range,theft,
crime-statistics-2019.pdf,2,March,2019,Total,dacoity,
crime-statistics-2019.pdf,2,March,2019,Total,robbery,
crime-statistics-2019.pdf,2,March,2019,Total,murder,
crime-statistics-2019.pdf,2,March,2019,Total,speedy_trial,
crime-statistics-2019.pdf,2,March,2019,Total,riot,
crime-statistics-2019.pdf,2,March,2019,Total,woman_child_repression,
crime-statistics-2019.pdf,2,March,2019,Total,kidnapping,
crime-statistics-2019.pdf,2,March,2019,Total,police_assault,
crime-statistics-2019.pdf,2,March,2019,Total,burglary,
crime-statistics-2019.pdf,2,March,2019,Total,theft,
