source,page,month,year,unit,column,note
"Crime Statistics, May-2026",0,May,2026.0,GMP,dacoity,
"Crime Statistics, April-2026",0,April,2026.0,DMP,r_explosive_act,
"Crime Statistics, April-2026",0,April,2026.0,BMP,robbery,
"Crime Statistics, April-2026",0,April,2026.0,BMP,police_assault,
"Crime Statistics, April-2026",0,April,2026.0,SMP,robbery,
"Crime Statistics, April-2026",0,April,2026.0,SMP,kidnapping,
"Crime Statistics, April-2026",0,April,2026.0,SMP,r_arms_act,
"Crime Statistics, April-2026",0,April,2026.0,SMP,r_explosive_act,
"Crime Statistics, April-2026",0,April,2026.0,RPMP,robbery,
"Crime Statistics, April-2026",0,April,2026.0,RPMP,murder,
"Crime Statistics, April-2026",0,April,2026.0,GMP,r_explosive_act,
"Crime Statistics, April-2026",0,April,2026.0,GMP,r_smuggling,
"Crime Statistics, April-2026",0,April,2026.0,Dhaka Range,r_explosive_act,
"Crime Statistics, April-2026",0,April,2026.0,Chittagong Range,r_explosive_act,
"Crime Statistics, April-2026",0,April,2026.0,Sylhet Range,kidnapping,
"Crime Statistics, April-2026",0,April,2026.0,Sylhet Range,police_assault,
"Crime Statistics, April-2026",0,April,2026.0,Sylhet Range,r_explosive_act,
"Crime Statistics, April-2026",0,April,2026.0,Barishal Range,police_assault,
"Crime Statistics, April-2026",0,April,2026.0,Barishal Range,r_explosive_act,
"Crime Statistics, April-2026",0,April,2026.0,Rajshahi Range,dacoity,
"Crime Statistics, April-2026",0,April,2026.0,Rajshahi Range,speedy_trial,
"Crime Statistics, April-2026",0,April,2026.0,Rajshahi Range,burglary,
"Crime Statistics, April-2026",0,April,2026.0,Rajshahi Range,r_explosive_act,
"Crime Statistics, April-2026",0,April,2026.0,Rangpur Range,r_arms_act,
"Crime Statistics, March-2026",0,March,2026.0,BMP,murder,
"Crime Statistics, February-2026",0,February,2026.0,SMP,speedy_trial,
"Crime Statistics, February-2026",0,February,2026.0,Rajshahi Range,speedy_trial,
"Crime Statistics, January-2026",0,January,2026.0,KMP,murder,
"Crime Statistics, January-2026",0,January,2026.0,Mymensingh Range,r_explosive_act,
"Crime Statistics, December-2025",0,December,2025.0,BMP,police_assault,
"Crime Statistics, October-2025",0,October,2025.0,RMP,kidnapping,
"Crime Statistics, October-2025",0,October,2025.0,RPMP,r_arms_act,
"Crime Statistics, September-2025",0,September,2025.0,DMP,police_assault,
"Crime Statistics, September-2025",0,September,2025.0,DMP,r_explosive_act,
"Crime Statistics, September-2025",0,September,2025.0,CMP,police_assault,
"Crime Statistics, September-2025",0,September,2025.0,CMP,r_explosive_act,
"Crime Statistics, September-2025",0,September,2025.0,KMP,police_assault,
"Crime Statistics, September-2025",0,September,2025.0,KMP,r_explosive_act,
"Crime Statistics, September-2025",0,September,2025.0,RMP,police_assault,
"Crime Statistics, September-2025",0,September,2025.0,RMP,r_explosive_act,
"Crime Statistics, September-2025",0,September,2025.0,BMP,police_assault,
"Crime Statistics, September-2025",0,September,2025.0,BMP,r_explosive_act,
"Crime Statistics, September-2025",0,September,2025.0,SMP,police_assault,
"Crime Statistics, September-2025",0,September,2025.0,SMP,r_explosive_act,
"Crime Statistics, September-2025",0,September,2025.0,RPMP,police_assault,
"Crime Statistics, September-2025",0,September,2025.0,RPMP,r_explosive_act,
"Crime Statistics, September-2025",0,September,2025.0,GMP,police_assault,
"Crime Statistics, September-2025",0,September,2025.0,GMP,r_explosive_act,
"Crime Statistics, September-2025",0,September,2025.0,Dhaka Range,police_assault,
"Crime Statistics, September-2025",0,September,2025.0,Dhaka Range,r_explosive_act,
"Crime Statistics, September-2025",0,September,2025.0,Mymensingh Range,police_assault,
"Crime Statistics, September-2025",0,September,2025.0,Mymensingh Range,r_explosive_act,
"Crime Statistics, September-2025",0,September,2025.0,Chittagong Range,police_assault,
"Crime Statistics, September-2025",0,September,2025.0,Chittagong Range,r_explosive_act,
"Crime Statistics, September-2025",0,September,2025.0,Sylhet Range,police_assault,
"Crime Statistics, September-2025",0,September,2025.0,Sylhet Range,r_explosive_act,
"Crime Statistics, September-2025",0,September,2025.0,Khulna Range,police_assault,
"Crime Statistics, September-2025",0,September,2025.0,Khulna Range,r_explosive_act,
"Crime Statistics, September-2025",0,September,2025.0,Barishal Range,police_assault,
"Crime Statistics, September-2025",0,September,2025.0,Barishal Range,r_explosive_act,
"Crime Statistics, September-2025",0,September,2025.0,Rajshahi Range,police_assault,
"Crime Statistics, September-2025",0,September,2025.0,Rajshahi Range,r_explosive_act,
"Crime Statistics, September-2025",0,September,2025.0,Rangpur Range,police_assault,
