unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,,10.0,19.0,10.0,0.0,118.0,9.0,6,49.0,127,411,6.0,3.0,1370,14.0,1393,2153,January,2019
CMP,0.0,,9.0,5.0,0.0,22.0,,5,,15,125,38.0,0.0,449,,488,678,January,2019
KMP,,0.0,4.0,1.0,0.0,8.0,0.0,0,6.0,4,16,2.0,0.0,272,,277,317,January,2019
RMP,0.0,4.0,,,,11.0,0.0,0,4.0,6,52,3.0,0.0,283,35.0,321,401,January,2019
BMP,0.0,0.0,,0.0,0.0,,,0,4.0,6,49,,0.0,91,0.0,92,166,January,2019
SMP,0.0,2.0,5.0,3.0,0.0,15.0,0.0,13,2.0,2,55,0.0,0.0,44,2.0,46,143,January,2019
RPMP,0.0,0.0,1.0,,0.0,12.0,1.0,0,0.0,6,33,0.0,0.0,68,0.0,68,121,January,2019
GMP,2.0,3.0,3.0,1.0,0.0,22.0,1.0,2,,8,65,3.0,0.0,130,,135,244,January,2019
Dhaka Range,,11.0,75.0,10.0,0.0,216.0,12.0,13,28.0,70,889,18.0,,1731,,1758,3089,January,2019
Mymensingh Range,1.0,,23.0,1.0,0.0,87.0,2.0,6,5.0,24,405,5.0,2.0,435,7.0,449,1004,January,2019
Chittagong Range,4.0,11.0,74.0,4.0,0.0,147.0,6.0,10,25.0,51,891,54.0,,1108,10.0,1173,2396,January,2019
Sylhet Range,4.0,5.0,20.0,4.0,0.0,67.0,,8,7.0,33,412,1.0,3.0,139,21.0,164,725,January,2019
Khulna Range,4.0,4.0,37.0,0.0,0.0,99.0,2.0,2,,36,544,13.0,,814,20.0,850,1585,January,2019
Barishal Range,,3.0,16.0,2.0,0.0,86.0,3.0,2,16.0,23,378,,0.0,363,0.0,364,895,January,2019
Rajshahi Range,5.0,8.0,29.0,6.0,0.0,99.0,8.0,2,5.0,40,469,25.0,15.0,1166,134.0,1340,2011,January,2019
Rangpur Range,,2.0,33.0,0.0,0.0,116.0,0.0,0,8.0,38,625,,0.0,551,94.0,649,1472,January,2019
Railway Range,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0,0.0,5,9,0.0,0.0,55,12.0,67,84,January,2019
Total,32.0,68.0,351.0,48.0,,1139.0,46.0,69,174.0,494,5428,174.0,30.0,9069,361.0,9634,17484,January,2019
