unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,3.0,17,11.0,9.0,0.0,258,13.0,3.0,70.0,143,499,11.0,,1496,15,1523,2549,September,2019
CMP,0.0,10,6.0,4.0,0.0,80,1.0,3.0,13.0,15,116,65.0,0.0,441,2,508,756,September,2019
KMP,,0,2.0,,0.0,7,0.0,0.0,,9,34,0.0,0.0,148,0,148,203,September,2019
RMP,,2,,0.0,0.0,29,0.0,,2.0,2,46,,0.0,341,24,367,451,September,2019
BMP,0.0,2,3.0,2.0,0.0,13,0.0,1.0,12.0,8,52,0.0,0.0,127,0,127,220,September,2019
SMP,,0,0.0,,0.0,28,2.0,1.0,1.0,13,81,,,56,3,62,192,September,2019
RPMP,0.0,0,,0.0,0.0,13,5.0,,0.0,10,32,,0.0,67,0,68,129,September,2019
GMP,1.0,2,5.0,0.0,0.0,49,4.0,1.0,0.0,13,96,4.0,0.0,215,0,219,390,September,2019
Dhaka Range,9.0,10,54.0,6.0,,330,11.0,6.0,40.0,119,959,18.0,,1471,10,1500,3044,September,2019
Mymensingh Range,,2,24.0,6.0,,161,4.0,4.0,,48,501,7.0,,766,15,788,1543,September,2019
Chittagong Range,11.0,9,58.0,8.0,0.0,290,14.0,7.0,44.0,90,825,78.0,2.0,1284,11,1375,2731,September,2019
Sylhet Range,2.0,2,18.0,0.0,0.0,97,3.0,10.0,10.0,52,356,9.0,0.0,279,27,315,865,September,2019
Khulna Range,2.0,5,25.0,4.0,0.0,203,4.0,3.0,25.0,64,612,15.0,0.0,877,41,933,1880,September,2019
Barishal Range,4.0,2,10.0,0.0,0.0,148,2.0,3.0,15.0,16,428,5.0,0.0,340,2,347,975,September,2019
Rajshahi Range,,9,26.0,6.0,0.0,284,9.0,3.0,9.0,38,542,28.0,6.0,1543,123,1700,2627,September,2019
Rangpur Range,,3,22.0,1.0,0.0,285,5.0,2.0,12.0,67,752,4.0,0.0,706,71,781,1931,September,2019
Railway Range,0.0,0,2.0,0.0,,1,,,,5,12,0.0,,41,16,57,77,September,2019
Total,38.0,75,268.0,50.0,0.0,2276,77.0,48.0,258.0,712,5943,250.0,10.0,10198,360,10818,20563,September,2019
