unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,,15.0,21.0,10.0,1.0,194,,4.0,74.0,113.0,467,12.0,,1205,12.0,1230,,February,2020
CMP,0.0,,2.0,7.0,0.0,64,0.0,2.0,13.0,13.0,112,31.0,3.0,396,3.0,433,651.0,February,2020
KMP,,,,0.0,0.0,8,2.0,0.0,,6.0,26,0.0,0.0,129,0.0,129,175.0,February,2020
RMP,0.0,5.0,,0.0,0.0,16,2.0,0.0,,7.0,55,,0.0,268,13.0,282,369.0,February,2020
BMP,,2.0,,2.0,0.0,12,0.0,0.0,10.0,10.0,44,0.0,0.0,93,0.0,93,174.0,February,2020
SMP,0.0,2.0,,10.0,0.0,22,,1.0,,5.0,59,,0.0,54,,56,158.0,February,2020
RPMP,0.0,,2.0,1.0,0.0,15,0.0,,0.0,,40,0.0,0.0,72,0.0,72,138.0,February,2020
GMP,0.0,2.0,3.0,,0.0,48,,,,14.0,90,6.0,0.0,165,,172,336.0,February,2020
Dhaka Range,4.0,14.0,54.0,8.0,0.0,263,11.0,4.0,24.0,74.0,806,15.0,1.0,1186,8.0,1210,2472.0,February,2020
Mymensingh Range,1.0,1.0,16.0,5.0,0.0,129,,,,35.0,434,3.0,0.0,508,7.0,518,1151.0,February,2020
Chittagong Range,10.0,16.0,48.0,7.0,0.0,239,10.0,5.0,35.0,89.0,828,48.0,2.0,1077,14.0,1141,2428.0,February,2020
Sylhet Range,3.0,3.0,19.0,0.0,0.0,67,1.0,,4.0,30.0,306,6.0,0.0,220,26.0,252,687.0,February,2020
Khulna Range,3.0,6.0,17.0,2.0,0.0,168,2.0,4.0,19.0,49.0,520,26.0,2.0,766,27.0,821,1611.0,February,2020
Barishal Range,1.0,4.0,12.0,,0.0,106,2.0,,9.0,26.0,374,,0.0,299,2.0,302,837.0,February,2020
Rajshahi Range,3.0,7.0,36.0,2.0,0.0,204,,,7.0,43.0,552,20.0,3.0,1542,124.0,1689,2548.0,February,2020
Rangpur Range,0.0,,21.0,1.0,0.0,185,3.0,,10.0,45.0,676,4.0,0.0,524,71.0,599,1542.0,February,2020
Railway Range,0.0,,2.0,0.0,0.0,0,,0.0,,6.0,11,0.0,0.0,27,15.0,42,64.0,February,2020
Total,26.0,87.0,257.0,56.0,,1740,41.0,34.0,218.0,571.0,5400,174.0,12.0,8531,324.0,9041,17472.0,February,2020
