unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,2.0,8.0,13,6.0,,68,1.0,3.0,31.0,43.0,172,8.0,0,161,2,171,518,May,2020
CMP,0.0,,6,,0.0,23,0.0,0.0,11.0,20.0,102,12.0,0,51,2,65,233,May,2020
KMP,,,0,0.0,0.0,12,1.0,0.0,0.0,2.0,21,0.0,0,5,0,5,41,May,2020
RMP,0.0,,2,0.0,0.0,17,0.0,0.0,4.0,2.0,51,2.0,0,60,7,69,146,May,2020
BMP,0.0,0.0,2,2.0,0.0,4,0.0,0.0,2.0,5.0,34,,0,8,0,9,58,May,2020
SMP,,0.0,2,3.0,0.0,16,0.0,,2.0,6.0,86,,0,27,2,30,146,May,2020
RPMP,0.0,,5,0.0,0.0,8,0.0,0.0,0.0,,42,0.0,0,15,0,15,76,May,2020
GMP,,5.0,8,2.0,0.0,11,2.0,,,,65,,0,34,0,37,143,May,2020
Dhaka Range,5.0,12.0,54,4.0,0.0,158,6.0,16.0,27.0,66.0,1030,,3,331,0,338,1716,May,2020
Mymensingh Range,0.0,0.0,26,3.0,0.0,104,,,4.0,28.0,735,2.0,0,108,3,113,1016,May,2020
Chittagong Range,2.0,10.0,97,9.0,0.0,143,4.0,,21.0,58.0,1172,51.0,1,613,2,667,2195,May,2020
Sylhet Range,0.0,1.0,28,1.0,0.0,51,,3.0,3.0,31.0,452,,0,84,10,95,666,May,2020
Khulna Range,,2.0,36,2.0,0.0,131,0.0,,8.0,45.0,672,9.0,1,294,5,309,1208,May,2020
Barishal Range,0.0,2.0,12,1.0,0.0,106,,,9.0,10.0,514,2.0,0,117,2,121,778,May,2020
Rajshahi Range,0.0,9.0,32,7.0,0.0,163,0.0,6.0,3.0,29.0,615,15.0,1,328,38,382,1246,May,2020
Rangpur Range,0.0,5.0,38,,0.0,152,0.0,,9.0,37.0,819,1.0,0,224,30,255,1320,May,2020
Railway Range,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0.0,1.0,3,0.0,0,1,1,2,7,May,2020
Total,11.0,59.0,361,44.0,0.0,1168,19.0,50.0,136.0,397.0,6585,112.0,6,2461,104,2683,11513,May,2020
