unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,,13,13.0,4.0,0.0,171,1.0,4.0,74.0,124,487,8.0,5.0,1384,24.0,1421,2313,August,2021
CMP,0.0,7,5.0,15.0,,66,,1.0,21.0,35,159,37.0,0.0,184,,222,533,August,2021
KMP,0.0,0,0.0,0.0,,10,0.0,0.0,4.0,17,30,3.0,0.0,104,,108,169,August,2021
RMP,0.0,2,4.0,,0.0,10,0.0,0.0,,4,38,3.0,0.0,374,7.0,384,446,August,2021
BMP,0.0,0,,,0.0,19,0.0,,4.0,16,31,0.0,0.0,93,0.0,93,166,August,2021
SMP,0.0,0,2.0,5.0,0.0,24,0.0,0.0,,16,83,5.0,0.0,78,9.0,92,223,August,2021
RPMP,0.0,0,0.0,0.0,0.0,11,2.0,0.0,,13,45,0.0,0.0,67,0.0,67,143,August,2021
GMP,,3,,0.0,0.0,34,2.0,,6.0,11,57,,0.0,108,0.0,109,225,August,2021
Dhaka Range,9.0,16,59.0,22.0,,332,6.0,5.0,50.0,115,913,25.0,4.0,843,3.0,875,2403,August,2021
Mymensingh Range,0.0,2,24.0,13.0,0.0,225,,0.0,9.0,60,549,0.0,,342,19.0,362,1242,August,2021
Chittagong Range,5.0,16,58.0,10.0,0.0,245,8.0,7.0,49.0,95,845,50.0,2.0,1314,23.0,1389,2728,August,2021
Sylhet Range,0.0,3,18.0,3.0,0.0,104,2.0,0.0,5.0,48,316,2.0,0.0,218,26.0,246,745,August,2021
Khulna Range,3.0,9,26.0,2.0,0.0,184,0.0,3.0,19.0,70,595,10.0,,681,18.0,710,1621,August,2021
Barishal Range,3.0,3,11.0,6.0,,121,0.0,0.0,13.0,27,313,2.0,0.0,286,2.0,290,787,August,2021
Rajshahi Range,4.0,7,30.0,8.0,0.0,230,5.0,5.0,10.0,76,576,21.0,4.0,1535,53.0,1613,2564,August,2021
Rangpur Range,3.0,2,25.0,3.0,0.0,293,4.0,3.0,26.0,65,676,2.0,0.0,424,23.0,449,1549,August,2021
Railway Range,0.0,1,1.0,0.0,0.0,0,0.0,0.0,0.0,13,11,0.0,0.0,13,0.0,13,39,August,2021
Total,30.0,84,278.0,93.0,2.0,2079,32.0,30.0,296.0,805,5724,169.0,17.0,8048,209.0,8443,17896,August,2021
