unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,,7.0,8.0,7.0,0.0,190,2.0,2.0,44,98.0,428,12.0,5.0,970,,994,1781,July,2021
CMP,0.0,5.0,9.0,13.0,0.0,57,0.0,,15,29.0,130,40.0,0.0,107,3.0,150,409,July,2021
KMP,,0.0,,0.0,0.0,13,0.0,0.0,2,8.0,24,0.0,0.0,75,2.0,77,125,July,2021
RMP,0.0,2.0,2.0,,0.0,11,0.0,0.0,7,4.0,58,0.0,0.0,141,6.0,147,232,July,2021
BMP,,0.0,0.0,2.0,0.0,11,0.0,0.0,5,8.0,38,2.0,0.0,72,0.0,74,139,July,2021
SMP,0.0,3.0,,5.0,0.0,26,0.0,1.0,7,12.0,68,3.0,0.0,55,6.0,64,187,July,2021
RPMP,0.0,0.0,1.0,6.0,,28,1.0,0.0,0,16.0,38,0.0,0.0,45,0.0,45,135,July,2021
GMP,,,10.0,2.0,0.0,30,3.0,,3,18.0,50,,0.0,77,0.0,78,197,July,2021
Dhaka Range,7.0,14.0,59.0,20.0,0.0,288,4.0,5.0,45,100.0,937,29.0,1.0,678,2.0,710,2189,July,2021
Mymensingh Range,0.0,,19.0,11.0,0.0,194,1.0,2.0,4,50.0,564,2.0,0.0,189,21.0,212,1058,July,2021
Chittagong Range,5.0,10.0,45.0,12.0,0.0,225,6.0,7.0,43,98.0,959,36.0,6.0,1040,11.0,1093,2503,July,2021
Sylhet Range,2.0,2.0,19.0,1.0,0.0,78,,,3,42.0,326,3.0,,179,31.0,213,688,July,2021
Khulna Range,0.0,4.0,28.0,2.0,0.0,129,,,23,62.0,612,12.0,1.0,446,15.0,474,1336,July,2021
Barishal Range,2.0,0.0,10.0,7.0,0.0,108,1.0,1.0,16,19.0,374,,0.0,181,0.0,183,721,July,2021
Rajshahi Range,2.0,8.0,34.0,12.0,0.0,198,2.0,,5,58.0,576,12.0,3.0,853,47.0,915,1817,July,2021
Rangpur Range,1.0,4.0,33.0,2.0,0.0,230,2.0,3.0,18,55.0,715,1.0,0.0,306,25.0,332,1395,July,2021
Railway Range,0.0,0.0,,0.0,0.0,1,,,0,,4,,0.0,4,0.0,4,13,July,2021
Total,22.0,61.0,279.0,103.0,0.0,1817,24.0,32.0,240,681.0,5901,155.0,16.0,5418,176.0,5765,14925,July,2021
