unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,,16.0,17.0,13,0,199,,12.0,60.0,146,680,7.0,10.0,1465,17.0,1499,2646,March,2022
CMP,0.0,3.0,,13,0,69,,,9.0,29,172,18.0,1.0,156,2.0,177,475,March,2022
KMP,0.0,0.0,,0,0,12,0.0,0.0,2.0,4,34,1.0,1.0,89,,92,145,March,2022
RMP,0.0,,,0,0,18,,,2.0,8,48,,0.0,261,1.0,263,343,March,2022
BMP,0.0,0.0,0.0,1,0,18,1.0,0.0,5.0,10,59,1.0,0.0,108,0.0,109,203,March,2022
SMP,0.0,2.0,1.0,5,0,31,0.0,0.0,4.0,10,94,1.0,0.0,73,5.0,79,226,March,2022
RPMP,0.0,0.0,2.0,3,0,16,0.0,0.0,0.0,18,64,0.0,,38,0.0,38,141,March,2022
GMP,4.0,1.0,10.0,3,0,53,,,2.0,15,75,2.0,0.0,85,1.0,88,253,March,2022
Dhaka Range,17.0,25.0,57.0,24,0,312,8.0,17.0,51.0,160,1105,14.0,9.0,834,3.0,860,2636,March,2022
Mymensingh Range,2.0,6.0,20.0,6,0,196,5.0,1.0,3.0,56,553,2.0,0.0,309,26.0,337,1185,March,2022
Chittagong Range,6.0,14.0,37.0,6,0,231,6.0,,28.0,108,904,49.0,3.0,1293,29.0,1374,2721,March,2022
Sylhet Range,1.0,3.0,15.0,2,0,83,3.0,,8.0,50,353,,0.0,261,13.0,274,794,March,2022
Khulna Range,,,28.0,6,0,160,,2.0,12.0,67,638,9.0,4.0,578,14.0,605,1525,March,2022
Barishal Range,3.0,6.0,7.0,1,0,126,,3.0,13.0,29,366,4.0,0.0,252,0.0,256,811,March,2022
Rajshahi Range,0.0,7.0,28.0,11,0,227,2.0,8.0,7.0,87,608,31.0,,1165,72.0,1269,2254,March,2022
Rangpur Range,0.0,3.0,21.0,1,0,224,4.0,,17.0,74,621,0.0,0.0,428,8.0,436,1402,March,2022
Railway Range,0.0,2.0,1.0,0,0,1,0.0,,,17,25,0.0,0.0,35,2.0,37,84,March,2022
Total,35.0,94.0,247.0,95,0,1976,37.0,57.0,223.0,888,6399,140.0,29.0,7430,194.0,7793,17844,March,2022
