unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,0,9.0,13.0,31,0,158,6.0,7.0,51.0,119,676.0,5.0,14.0,1240,11,1270,2340,October,2022
CMP,0,5.0,5.0,4,0,56,6.0,2.0,13.0,32,146.0,3.0,1.0,182,2,188,457,October,2022
KMP,0,0.0,1.0,1,0,19,1.0,0.0,7.0,4,29.0,2.0,0.0,69,0,71,133,October,2022
RMP,0,5.0,0.0,0,0,17,1.0,1.0,1.0,5,51.0,2.0,0.0,218,0,220,301,October,2022
BMP,0,0.0,2.0,1,0,18,0.0,1.0,6.0,8,,0.0,1.0,80,0,81,158,October,2022
SMP,0,,0.0,8,0,34,1.0,0.0,8.0,6,70.0,1.0,0.0,61,10,72,200,October,2022
RPMP,0,0.0,,0,0,23,,0.0,0.0,22,48.0,0.0,0.0,27,0,27,121,October,2022
GMP,0,2.0,6.0,1,0,39,6.0,3.0,,19,75.0,,,88,2,92,245,October,2022
Dhaka Range,9,24.0,77.0,33,0,320,12.0,9.0,41.0,126,1014.0,14.0,2.0,919,3,938,2603,October,2022
Mymensingh Range,0,3.0,30.0,5,0,193,6.0,3.0,5.0,46,470.0,2.0,0.0,306,34,342,1103,October,2022
Chittagong Range,16,20.0,38.0,9,0,214,9.0,12.0,42.0,88,932.0,26.0,2.0,988,40,1056,2436,October,2022
Sylhet Range,2,2.0,12.0,4,0,89,,4.0,8.0,32,350.0,1.0,2.0,175,29,207,711,October,2022
Khulna Range,7,5.0,22.0,7,0,168,3.0,,21.0,96,676.0,12.0,8.0,580,22,622,1628,October,2022
Barishal Range,1,1.0,11.0,2,0,125,,1.0,19.0,23,496.0,0.0,0.0,198,0,198,878,October,2022
Rajshahi Range,3,17.0,35.0,7,0,208,2.0,4.0,13.0,75,657.0,26.0,3.0,1128,31,1188,2209,October,2022
Rangpur Range,0,5.0,22.0,4,0,260,6.0,2.0,15.0,64,671.0,0.0,0.0,348,10,358,1407,October,2022
Railway Range,0,3.0,2.0,0,0,1,0.0,,0.0,19,12.0,5.0,0.0,33,2,40,78,October,2022
Total,38,102.0,277.0,117,0,1942,61.0,51.0,252.0,784,6414.0,100.0,34.0,6640,196,6970,17008,October,2022
