unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,4.0,13.0,12.0,11.0,0.0,133,9,5.0,54.0,130.0,527,2.0,6.0,969,13,990,1888,April,2023
CMP,0.0,10.0,5.0,12.0,0.0,50,4,,15.0,36.0,175,2.0,,208,5,216,523,April,2023
KMP,0.0,,2.0,0.0,0.0,24,0,0.0,5.0,5.0,33,,0.0,58,0,58,128,April,2023
RMP,0.0,4.0,,0.0,0.0,25,0,4.0,3.0,5.0,43,1.0,0.0,94,1,96,181,April,2023
BMP,0.0,,3.0,,0.0,15,0,0.0,,5.0,48,,0.0,68,0,68,143,April,2023
SMP,0.0,,,14.0,0.0,19,0,1.0,5.0,16.0,87,0.0,0.0,49,9,58,201,April,2023
RPMP,0.0,0.0,2.0,,0.0,7,0,1.0,0.0,10.0,51,0.0,0.0,24,0,24,98,April,2023
GMP,1.0,5.0,7.0,0.0,0.0,21,2,1.0,0.0,,70,,,76,0,78,194,April,2023
Dhaka Range,6.0,35.0,68.0,27.0,0.0,276,4,7.0,23.0,113.0,1208,22.0,,949,5,977,2744,April,2023
Mymensingh Range,0.0,3.0,25.0,10.0,,103,2,0.0,3.0,44.0,684,4.0,3.0,291,35,333,1207,April,2023
Chittagong Range,4.0,18.0,56.0,6.0,,165,3,8.0,31.0,77.0,1064,49.0,,908,36,994,2426,April,2023
Sylhet Range,0.0,6.0,33.0,1.0,0.0,53,2,4.0,,59.0,493,,0.0,152,17,170,822,April,2023
Khulna Range,3.0,9.0,22.0,8.0,0.0,122,5,1.0,12.0,94.0,745,5.0,3.0,610,20,638,1659,April,2023
Barishal Range,,2.0,10.0,1.0,0.0,72,2,4.0,6.0,21.0,435,,,191,0,193,747,April,2023
Rajshahi Range,,10.0,28.0,13.0,0.0,166,3,1.0,7.0,74.0,786,30.0,6.0,889,29,954,2043,April,2023
Rangpur Range,0.0,0.0,21.0,3.0,0.0,197,3,2.0,14.0,67.0,880,0.0,0.0,403,9,412,1599,April,2023
Railway Range,0.0,2.0,0.0,0.0,0.0,0,0,0.0,0.0,11.0,8,,0.0,18,1,20,41,April,2023
Total,20.0,118.0,296.0,109.0,0.0,1448,39,39.0,183.0,776.0,7337,119.0,23.0,5957,180,6279,16644,April,2023
