unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,4.0,25.0,24.0,16.0,0.0,136,7.0,8,36.0,134.0,627,3.0,3.0,1066,,1078,2095.0,June,2023
CMP,0.0,9.0,5.0,8.0,0.0,40,,0,15.0,36.0,147,2.0,0.0,202,6.0,210,471.0,June,2023
KMP,0.0,2.0,,,0.0,26,0.0,0,6.0,7.0,34,0.0,0.0,45,0.0,45,123.0,June,2023
RMP,0.0,1.0,1.0,0.0,0.0,16,2.0,0,3.0,3.0,44,,,51,,53,123.0,June,2023
BMP,0.0,0.0,2.0,,0.0,11,0.0,0,5.0,5.0,47,0.0,,53,0.0,53,124.0,June,2023
SMP,0.0,0.0,5.0,13.0,0.0,13,0.0,3,4.0,10.0,67,0.0,0.0,32,3.0,35,150.0,June,2023
RPMP,0.0,0.0,0.0,0.0,0.0,13,0.0,0,0.0,8.0,44,0.0,0.0,32,,33,98.0,June,2023
GMP,,3.0,10.0,0.0,,22,,1,,,94,1.0,0.0,81,1.0,83,226.0,June,2023
Dhaka Range,11.0,24.0,54.0,22.0,0.0,334,10.0,5,35.0,136.0,1075,10.0,0.0,970,6.0,986,2692.0,June,2023
Mymensingh Range,0.0,,11.0,8.0,0.0,174,,2,8.0,48.0,497,0.0,4.0,303,42.0,349,,June,2023
Chittagong Range,2.0,16.0,60.0,7.0,,84,9.0,9,32.0,94.0,1027,36.0,3.0,975,32.0,1046,2486.0,June,2023
Sylhet Range,0.0,0.0,17.0,5.0,0.0,67,1.0,4,3.0,63.0,363,0.0,0.0,116,29.0,145,668.0,June,2023
Khulna Range,5.0,5.0,26.0,8.0,0.0,197,2.0,4,13.0,80.0,735,12.0,2.0,689,14.0,717,1792.0,June,2023
Barishal Range,1.0,3.0,3.0,4.0,0.0,138,0.0,2,11.0,33.0,360,2.0,1.0,204,0.0,207,762.0,June,2023
Rajshahi Range,1.0,9.0,26.0,8.0,0.0,208,4.0,2,4.0,74.0,777,28.0,5.0,935,37.0,1005,2118.0,June,2023
Rangpur Range,2.0,6.0,25.0,3.0,0.0,251,1.0,2,16.0,77.0,793,1.0,0.0,329,9.0,339,1515.0,June,2023
Railway Range,0.0,1.0,1.0,0.0,0.0,0,0.0,0,0.0,16.0,13,1.0,0.0,12,0.0,13,44.0,June,2023
Total,27.0,105.0,272.0,104.0,0.0,1830,41.0,42,193.0,831.0,6744,97.0,18.0,6095,187.0,6397,16586.0,June,2023
