unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,9,39,24.0,19,9.0,131,17.0,8.0,60,131,584,9.0,9,529,7.0,554,1585,December,2024
CMP,2,6,4.0,8,0.0,25,3.0,1.0,11,26,124,3.0,0,121,4.0,128,338,December,2024
KMP,0,3,2.0,0,0.0,10,2.0,1.0,4,8,38,4.0,0,70,1.0,75,143,December,2024
RMP,0,3,1.0,0,0.0,12,2.0,1.0,4,6,55,,2,90,0.0,93,177,December,2024
BMP,1,1,,0,0.0,11,,0.0,3,8,58,0.0,0,33,0.0,33,118,December,2024
SMP,1,3,2.0,7,0.0,11,,2.0,2,7,63,0.0,2,32,15.0,49,149,December,2024
RPMP,1,2,0.0,0,0.0,3,,,0,10,36,0.0,0,24,0.0,24,78,December,2024
GMP,1,2,3.0,0,,20,,1.0,2,8,81,1.0,0,74,1.0,76,195,December,2024
Dhaka Range,23,22,45.0,9,0.0,187,,9.0,42,93,967,17.0,6,636,4.0,663,2068,December,2024
Mymensingh Range,1,6,16.0,13,0.0,81,4.0,0.0,9,33,418,5.0,1,192,54.0,252,833,December,2024
Chittagong Range,16,26,32.0,10,0.0,159,13.0,9.0,39,102,1030,25.0,2,685,22.0,734,2170,December,2024
Sylhet Range,4,5,16.0,4,0.0,56,3.0,2.0,7,38,400,2.0,0,98,39.0,139,674,December,2024
Khulna Range,4,14,19.0,4,0.0,125,2.0,5.0,13,78,599,16.0,2,430,14.0,462,1325,December,2024
Barishal Range,3,5,4.0,13,0.0,96,2.0,1.0,21,36,431,5.0,1,124,0.0,130,742,December,2024
Rajshahi Range,4,11,23.0,3,0.0,132,4.0,3.0,5,74,693,13.0,12,520,11.0,556,1508,December,2024
Rangpur Range,1,7,12.0,0,0.0,146,7.0,1.0,15,59,750,4.0,1,453,9.0,467,1465,December,2024
Railway Range,0,4,0.0,0,0.0,0,0.0,,0,12,12,0.0,0,26,,26,54,December,2024
Total,71,159,204.0,90,9.0,1205,74.0,44.0,237,729,6339,105.0,38,4137,181.0,4461,13622,December,2024
