unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,1,10,12,13.0,0,216,14,8.0,38,107,469,12.0,3.0,1603,9,1627,2515,April,2019
CMP,1,9,15,6.0,0,50,0,5.0,8,16,107,60.0,0.0,478,8,546,763,April,2019
KMP,0,0,1,0.0,0,15,0,0.0,2,4,32,2.0,0.0,197,7,206,260,April,2019
RMP,0,4,1,0.0,0,19,2,0.0,4,4,57,,0.0,410,31,442,533,April,2019
BMP,0,1,1,,0,13,0,0.0,2,5,46,,0.0,99,0,100,169,April,2019
SMP,0,1,2,2.0,0,19,1,0.0,1,4,62,0.0,0.0,71,3,74,166,April,2019
RPMP,0,0,2,0.0,0,14,0,0.0,0,5,43,0.0,0.0,89,0,89,153,April,2019
GMP,0,0,7,0.0,0,24,1,2.0,2,16,89,8.0,0.0,167,3,178,319,April,2019
Dhaka Range,10,15,65,2.0,0,322,16,8.0,28,85,1133,13.0,,1888,5,1907,3591,April,2019
Mymensingh Range,1,1,24,2.0,0,166,0,0.0,4,34,427,3.0,0.0,510,2,515,1174,April,2019
Chittagong Range,5,6,65,11.0,0,274,8,13.0,29,64,1041,72.0,1.0,1298,6,1377,2893,April,2019
Sylhet Range,4,2,17,2.0,0,97,5,3.0,7,32,394,3.0,0.0,236,23,262,825,April,2019
Khulna Range,2,4,35,1.0,0,161,6,2.0,15,28,616,14.0,0.0,697,29,740,1610,April,2019
Barishal Range,2,5,11,3.0,0,152,0,1.0,20,19,463,4.0,0.0,386,1,391,1067,April,2019
Rajshahi Range,1,8,36,9.0,0,212,0,,5,46,606,15.0,2.0,1226,109,1352,2276,April,2019
Rangpur Range,1,4,23,1.0,0,216,2,2.0,6,41,745,1.0,0.0,607,72,680,1721,April,2019
Railway Range,0,1,2,0.0,0,1,1,0.0,0,4,11,0.0,0.0,67,13,80,100,April,2019
Total,28,71,319,53.0,0,1971,56,45.0,171,514,6341,209.0,7.0,10029,321,10566,20135,April,2019
