unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,0,18,22,12,0,297,3,12,61,125,544,15,4,1429,4,1452,2546,October,2020
CMP,0,19,12,19,0,115,4,1,12,21,155,46,1,293,3,343,701,October,2020
KMP,0,1,0,1,0,18,0,1,2,12,29,0,0,97,0,97,161,October,2020
RMP,0,1,0,0,0,32,3,0,4,5,47,2,0,301,40,343,435,October,2020
BMP,0,2,1,2,0,21,0,0,6,8,48,0,0,70,0,70,158,October,2020
SMP,0,0,1,3,0,29,1,1,3,13,73,1,0,36,13,50,174,October,2020
RPMP,0,0,1,1,0,30,0,0,0,14,53,0,0,74,0,74,173,October,2020
GMP,1,5,7,2,0,55,1,0,1,8,75,2,0,72,1,75,230,October,2020
Dhaka Range,12,23,63,17,0,470,13,10,45,107,991,16,2,683,6,707,2458,October,2020
Mymensingh Range,0,4,21,6,0,265,3,4,10,53,454,1,0,270,14,285,1105,October,2020
Chittagong Range,13,20,59,7,0,481,17,10,47,110,1035,38,3,810,15,866,2665,October,2020
Sylhet Range,0,3,21,2,0,127,1,3,7,52,350,1,0,169,42,212,778,October,2020
Khulna Range,0,8,31,6,0,242,1,1,24,79,675,13,0,527,28,568,1635,October,2020
Barishal Range,2,2,10,17,0,178,3,4,14,18,395,2,1,225,1,229,872,October,2020
Rajshahi Range,3,8,36,5,0,324,3,2,13,46,574,17,2,1068,114,1201,2215,October,2020
Rangpur Range,0,4,17,3,0,297,1,3,13,66,691,0,0,345,25,370,1465,October,2020
Railway Range,1,2,2,0,0,1,1,0,0,8,8,1,0,16,2,19,42,October,2020
Total,32,120,304,103,0,2982,55,52,262,745,6197,155,13,6485,308,6961,17813,October,2020
