unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,0.0,11.0,14.0,6.0,0.0,146.0,5.0,1.0,61.0,120.0,530.0,16.0,20.0,1525.0,21.0,1582.0,2476.0,December,2021
CMP,1.0,9.0,4.0,9.0,0.0,80.0,2.0,1.0,12.0,31.0,163.0,14.0,0.0,201.0,3.0,218.0,530.0,December,2021
KMP,0.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,3.0,5.0,38.0,1.0,0.0,85.0,1.0,87.0,141.0,December,2021
RMP,0.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,1.0,4.0,65.0,0.0,0.0,205.0,15.0,220.0,299.0,December,2021
BMP,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,4.0,7.0,22.0,0.0,0.0,85.0,0.0,85.0,128.0,December,2021
SMP,0.0,2.0,1.0,7.0,0.0,16.0,0.0,0.0,4.0,9.0,79.0,0.0,0.0,75.0,8.0,83.0,201.0,December,2021
RPMP,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,17.0,58.0,0.0,0.0,50.0,0.0,50.0,138.0,December,2021
GMP,1.0,3.0,5.0,1.0,0.0,21.0,0.0,0.0,2.0,9.0,53.0,0.0,0.0,75.0,0.0,75.0,170.0,December,2021
Dhaka Range,8.0,18.0,48.0,13.0,1.0,214.0,8.0,11.0,32.0,114.0,941.0,21.0,6.0,610.0,1.0,638.0,2046.0,December,2021
Mymensingh Range,0.0,6.0,15.0,11.0,0.0,144.0,4.0,2.0,4.0,37.0,448.0,1.0,0.0,215.0,19.0,235.0,906.0,December,2021
Chittagong Range,4.0,6.0,37.0,5.0,0.0,209.0,2.0,7.0,25.0,74.0,745.0,60.0,2.0,957.0,19.0,1038.0,2152.0,December,2021
Sylhet Range,0.0,3.0,16.0,1.0,0.0,57.0,0.0,5.0,3.0,39.0,255.0,3.0,0.0,117.0,22.0,142.0,521.0,December,2021
Khulna Range,2.0,3.0,24.0,15.0,0.0,138.0,1.0,4.0,12.0,74.0,549.0,18.0,2.0,497.0,14.0,531.0,1353.0,December,2021
Barishal Range,1.0,0.0,13.0,5.0,0.0,89.0,1.0,1.0,12.0,19.0,363.0,3.0,2.0,191.0,0.0,196.0,700.0,December,2021
Rajshahi Range,1.0,11.0,36.0,4.0,0.0,124.0,0.0,9.0,6.0,54.0,546.0,26.0,3.0,846.0,53.0,928.0,1719.0,December,2021
Rangpur Range,0.0,2.0,15.0,1.0,0.0,158.0,5.0,6.0,8.0,65.0,641.0,1.0,0.0,287.0,5.0,293.0,1194.0,December,2021
Railway Range,,,,,,,,,,,,,,,,,,December,2021
Total,18.0,76.0,231.0,79.0,2.0,1426.0,29.0,47.0,192.0,687.0,5510.0,164.0,35.0,6037.0,182.0,6418.0,14715.0,December,2021
