unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,3,10,9,12,0,170,5.0,5,49,112,510,7.0,7,1640,9,1663,2548,January,2022
CMP,2,3,2,13,0,53,,4,9,36,188,13.0,1,221,0,235,546,January,2022
KMP,0,0,2,0,0,12,0.0,0,4,4,32,1.0,1,101,0,103,157,January,2022
RMP,0,9,3,5,0,14,1.0,0,0,9,39,0.0,1,214,14,229,309,January,2022
BMP,1,0,3,1,0,9,1.0,2,6,9,32,2.0,1,100,0,103,167,January,2022
SMP,0,2,0,5,0,26,0.0,1,3,12,72,1.0,0,84,0,85,206,January,2022
RPMP,0,0,0,1,0,23,1.0,0,3,13,73,,0,56,0,57,171,January,2022
GMP,0,3,4,2,0,28,3.0,0,1,6,58,1.0,0,87,0,88,193,January,2022
Dhaka Range,14,18,76,16,0,209,7.0,12,40,119,971,24.0,6,761,4,795,2277,January,2022
Mymensingh Range,0,2,16,16,0,128,1.0,4,5,49,496,2.0,0,252,15,269,986,January,2022
Chittagong Range,5,14,50,5,0,187,4.0,7,32,94,802,0.5,2,1115,24,1191,2391,January,2022
Sylhet Range,1,2,15,2,0,60,1.0,1,7,36,312,1.0,0,137,15,153,590,January,2022
Khulna Range,2,10,29,5,0,131,3.0,4,18,64,549,16.0,3,636,22,677,1492,January,2022
Barishal Range,1,3,13,3,0,79,1.0,1,13,29,345,3.0,1,273,1,278,766,January,2022
Rajshahi Range,0,10,21,7,0,142,4.0,10,5,52,592,19.0,7,1005,66,1097,1940,January,2022
Rangpur Range,1,5,20,1,0,162,4.0,2,18,73,590,6.0,0,332,10,348,1224,January,2022
Railway Range,0,0,1,0,0,0,2.0,0,0,12,14,0.0,0,34,1,35,64,January,2022
Total,30,91,264,94,0,1433,39.0,53,213,729,5675,147.0,30,7048,181,7406,16027,January,2022
