unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,4,13,13,12,0,174,3,3,70,121,621,5,5,1190,5,1205,2239,July,2022
CMP,0,6,7,12,0,51,4,0,10,28,171,11,0,137,5,153,442,July,2022
KMP,0,0,2,1,0,14,1,0,6,6,20,0,0,71,0,71,121,July,2022
RMP,0,2,4,0,0,9,1,0,5,3,46,2,0,215,0,217,287,July,2022
BMP,0,1,2,1,0,17,0,0,4,3,32,1,0,82,0,83,143,July,2022
SMP,0,2,1,8,0,25,0,1,5,15,87,0,0,59,6,65,209,July,2022
RPMP,0,0,0,3,0,12,0,0,2,12,60,0,0,20,0,20,109,July,2022
GMP,2,4,8,3,0,40,1,0,1,3,66,3,0,58,0,61,189,July,2022
Dhaka Range,14,31,74,15,0,296,5,8,47,133,1140,11,5,751,2,769,2532,July,2022
Mymensingh Range,3,3,27,9,0,199,6,2,6,43,603,1,0,261,39,301,1202,July,2022
Chittagong Range,5,15,40,12,0,246,4,9,42,101,954,49,0,1087,29,1165,2593,July,2022
Sylhet Range,1,1,31,0,0,75,0,6,5,41,359,0,0,177,10,187,706,July,2022
Khulna Range,3,6,24,5,0,180,0,0,18,84,744,18,1,574,13,606,1670,July,2022
Barishal Range,3,1,18,1,0,109,1,2,10,23,367,3,0,252,0,255,790,July,2022
Rajshahi Range,1,6,34,8,0,262,2,2,7,55,774,12,5,1146,61,1224,2375,July,2022
Rangpur Range,1,5,21,1,0,252,5,7,20,63,771,0,1,313,11,325,1471,July,2022
Railway Range,0,1,0,0,0,1,0,0,0,9,19,0,0,28,1,29,59,July,2022
Total,37,97,306,91,0,1962,33,40,258,743,6834,116,17,6421,182,6736,17137,July,2022
