unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,0,11.0,11,9.0,1,186,3.0,8,68,133,626,4,7.0,1411,10,1432,2488,May,2022
CMP,0,9.0,6,17.0,0,76,3.0,2,19,28,173,18,,144,3,166,499,May,2022
KMP,0,0.0,1,0.0,0,21,0.0,0,2,8,24,1,0.0,73,1,75,131,May,2022
RMP,0,2.0,3,1.0,0,17,0.0,0,3,6,54,1,0.0,247,0,248,334,May,2022
BMP,0,,0,,0,15,0.0,0,4,7,43,1,0.0,96,0,97,168,May,2022
SMP,0,0.0,3,2.0,0,26,0.0,2,4,14,67,0,0.0,57,2,59,177,May,2022
RPMP,0,0.0,0,2.0,0,15,0.0,0,0,12,57,0,0.0,42,0,42,128,May,2022
GMP,3,1.0,3,0.0,0,31,3.0,0,5,15,71,1,0.0,79,0,80,212,May,2022
Dhaka Range,13,24.0,65,28.0,0,333,9.0,7,32,102,1167,18,4.0,855,3,880,2660,May,2022
Mymensingh Range,0,4.0,26,12.0,0,190,3.0,2,4,31,685,2,0.0,270,24,296,1253,May,2022
Chittagong Range,4,9.0,41,0.8,0,213,5.0,10,31,86,1024,61,0.0,1077,17,1155,2586,May,2022
Sylhet Range,0,1.0,19,1.0,0,83,0.0,2,5,30,421,0,1.0,184,21,206,768,May,2022
Khulna Range,1,2.0,27,1.0,0,184,1.0,2,16,67,722,9,2.0,574,7,592,1615,May,2022
Barishal Range,0,5.0,11,7.0,0,116,1.0,1,9,21,441,2,0.0,246,0,248,860,May,2022
Rajshahi Range,1,12.0,38,4.0,0,251,,6,7,58,773,26,1.0,1121,63,1211,2362,May,2022
Rangpur Range,2,2.0,21,3.0,0,241,3.0,2,17,56,751,3,0.0,380,9,392,1490,May,2022
Railway Range,0,2.0,1,0.0,0,3,0.0,0,0,15,15,0,0.0,20,1,21,57,May,2022
Total,24,85.0,276,96.0,1,2001,32.0,44,226,689,7114,147,16.0,6876,161,7200,17788,May,2022
