unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,4,15,18,14,4,173,2,4,61,175,605,6,7,1241,13,1267,2342,September,2022
CMP,1,8,6,9,0,69,1,2,16,26,144,6,0,182,1,189,471,September,2022
KMP,0,2,1,1,0,20,1,0,6,7,26,1,0,83,0,84,148,September,2022
RMP,0,3,3,0,0,16,0,0,3,12,54,1,0,214,1,216,307,September,2022
BMP,2,0,1,0,0,15,0,1,5,9,41,0,0,72,0,72,146,September,2022
SMP,0,0,2,6,0,32,0,1,6,9,87,0,0,57,4,61,204,September,2022
RPMP,0,0,0,2,0,12,0,0,0,12,51,0,0,34,0,34,111,September,2022
GMP,3,1,3,4,0,35,1,2,4,12,68,4,1,88,0,93,226,September,2022
Dhaka Range,15,31,67,32,0,310,7,5,46,128,980,13,6,902,5,926,2547,September,2022
Mymensingh Range,3,3,23,3,0,222,7,3,4,50,512,2,0,314,53,369,1199,September,2022
Chittagong Range,11,21,55,15,2,230,10,11,40,107,804,36,3,1105,49,1193,2499,September,2022
Sylhet Range,2,2,19,3,0,109,2,3,8,59,343,1,0,203,30,234,784,September,2022
Khulna Range,2,3,22,6,1,202,1,4,21,101,701,7,3,650,31,691,1755,September,2022
Barishal Range,1,2,12,1,0,111,0,1,6,38,309,4,1,228,0,233,714,September,2022
Rajshahi Range,2,12,30,4,0,247,4,7,9,84,654,21,4,1083,35,1143,2196,September,2022
Rangpur Range,1,4,19,2,0,277,3,1,22,84,739,1,0,389,4,394,1546,September,2022
Railway Range,0,2,2,0,0,0,1,0,0,13,14,3,0,38,2,43,75,September,2022
Total,47,109,283,102,7,2080,40,45,257,926,6132,106,25,6883,228,7242,17270,September,2022
