unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,1.0,13.0,10.0,18.0,0.0,157.0,8.0,9.0,53.0,153.0,704.0,3.0,0.0,1184.0,14.0,1201.0,2327.0,August,2023
CMP,0.0,10.0,2.0,9.0,0.0,49.0,3.0,3.0,21.0,48.0,117.0,5.0,1.0,229.0,6.0,241.0,503.0,August,2023
KMP,0.0,0.0,2.0,2.0,0.0,26.0,0.0,1.0,7.0,9.0,39.0,5.0,0.0,113.0,0.0,118.0,204.0,August,2023
RMP,0.0,1.0,1.0,0.0,0.0,19.0,4.0,0.0,5.0,14.0,52.0,1.0,6.0,127.0,1.0,135.0,231.0,August,2023
BMP,1.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,6.0,5.0,44.0,0.0,1.0,78.0,0.0,79.0,154.0,August,2023
SMP,0.0,1.0,1.0,10.0,0.0,19.0,0.0,3.0,6.0,13.0,67.0,0.0,1.0,35.0,20.0,56.0,176.0,August,2023
RPMP,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,9.0,55.0,1.0,0.0,66.0,0.0,67.0,143.0,August,2023
GMP,2.0,7.0,7.0,0.0,0.0,40.0,2.0,1.0,4.0,19.0,94.0,2.0,0.0,113.0,1.0,116.0,292.0,August,2023
Dhaka Range,8.0,20.0,55.0,19.0,0.0,298.0,4.0,5.0,42.0,117.0,1082.0,10.0,5.0,1124.0,3.0,1142.0,2792.0,August,2023
Mymensingh Range,0.0,0.0,13.0,7.0,0.0,204.0,1.0,1.0,6.0,64.0,528.0,0.0,26.0,251.0,37.0,314.0,1138.0,August,2023
Chittagong Range,3.0,22.0,50.0,1.0,0.0,173.0,9.0,15.0,39.0,102.0,942.0,39.0,0.0,1059.0,25.0,1123.0,2479.0,August,2023
Sylhet Range,2.0,1.0,14.0,3.0,0.0,79.0,3.0,1.0,4.0,52.0,320.0,2.0,1.0,131.0,91.0,225.0,704.0,August,2023
Khulna Range,2.0,6.0,24.0,4.0,0.0,164.0,2.0,2.0,25.0,77.0,631.0,12.0,2.0,708.0,20.0,742.0,1679.0,August,2023
Barishal Range,1.0,4.0,11.0,3.0,0.0,142.0,0.0,1.0,16.0,28.0,355.0,2.0,0.0,228.0,0.0,230.0,791.0,August,2023
Rajshahi Range,1.0,16.0,38.0,10.0,0.0,218.0,4.0,1.0,19.0,89.0,729.0,48.0,5.0,1092.0,49.0,1194.0,2319.0,August,2023
Rangpur Range,0.0,1.0,20.0,4.0,0.0,234.0,0.0,0.0,16.0,76.0,826.0,1.0,0.0,536.0,7.0,544.0,1721.0,August,2023
Railway Range,,,,,,,,,,,,,,,,,,August,2023
Total,22.0,104.0,253.0,90.0,0.0,1851.0,40.0,44.0,269.0,889.0,6592.0,133.0,48.0,7090.0,274.0,7545.0,17699.0,August,2023
