unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,4.0,25.0,24.0,16.0,0.0,136.0,7.0,8.0,36.0,134.0,627.0,3.0,3.0,1066.0,6.0,1078.0,2095.0,June,2023
CMP,0.0,9.0,5.0,8.0,0.0,40.0,1.0,0.0,15.0,36.0,147.0,2.0,0.0,202.0,6.0,210.0,471.0,June,2023
KMP,0.0,2.0,2.0,1.0,0.0,26.0,0.0,0.0,6.0,7.0,34.0,0.0,0.0,45.0,0.0,45.0,123.0,June,2023
RMP,0.0,1.0,1.0,0.0,0.0,16.0,2.0,0.0,3.0,3.0,44.0,1.0,0.0,51.0,1.0,53.0,123.0,June,2023
BMP,0.0,0.0,2.0,1.0,0.0,11.0,0.0,0.0,5.0,5.0,47.0,0.0,0.0,53.0,0.0,53.0,124.0,June,2023
SMP,0.0,0.0,5.0,13.0,0.0,13.0,0.0,3.0,4.0,10.0,67.0,0.0,0.0,32.0,3.0,35.0,150.0,June,2023
RPMP,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,8.0,44.0,0.0,0.0,32.0,1.0,33.0,98.0,June,2023
GMP,1.0,3.0,10.0,0.0,0.0,22.0,3.0,1.0,2.0,7.0,94.0,1.0,0.0,81.0,1.0,83.0,226.0,June,2023
Dhaka Range,11.0,24.0,54.0,22.0,0.0,334.0,10.0,5.0,35.0,136.0,1075.0,10.0,0.0,970.0,6.0,986.0,2692.0,June,2023
Mymensingh Range,0.0,-1.0,11.0,8.0,0.0,174.0,1.0,2.0,8.0,48.0,497.0,0.0,4.0,303.0,42.0,349.0,1099.0,June,2023
Chittagong Range,2.0,16.0,60.0,7.0,0.0,184.0,9.0,9.0,32.0,94.0,1027.0,36.0,3.0,975.0,32.0,1046.0,2486.0,June,2023
Sylhet Range,0.0,0.0,17.0,5.0,0.0,67.0,1.0,4.0,3.0,63.0,363.0,0.0,0.0,116.0,29.0,145.0,668.0,June,2023
Khulna Range,5.0,5.0,26.0,8.0,0.0,197.0,2.0,4.0,13.0,80.0,735.0,12.0,2.0,689.0,14.0,717.0,1792.0,June,2023
Barishal Range,1.0,3.0,3.0,4.0,0.0,138.0,0.0,2.0,11.0,33.0,360.0,2.0,1.0,204.0,0.0,207.0,762.0,June,2023
Rajshahi Range,1.0,9.0,26.0,8.0,0.0,208.0,4.0,2.0,4.0,74.0,777.0,28.0,5.0,935.0,37.0,1005.0,2118.0,June,2023
Rangpur Range,2.0,6.0,25.0,3.0,0.0,251.0,1.0,2.0,16.0,77.0,793.0,1.0,0.0,329.0,9.0,339.0,1515.0,June,2023
Railway Range,,,,,,,,,,,,,,,,,,June,2023
Total,27.0,105.0,272.0,104.0,0.0,1830.0,41.0,42.0,193.0,831.0,6744.0,97.0,18.0,6095.0,187.0,6397.0,16586.0,June,2023
