unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,1.0,28.0,18.0,28.0,0.0,127.0,7.0,2.0,53.0,163.0,798.0,8.0,1.0,835.0,22.0,866.0,2091.0,March,2024
CMP,0.0,11.0,6.0,8.0,0.0,33.0,4.0,2.0,13.0,34.0,172.0,5.0,0.0,164.0,9.0,178.0,461.0,March,2024
KMP,0.0,2.0,0.0,0.0,0.0,11.0,1.0,1.0,5.0,14.0,39.0,0.0,0.0,138.0,0.0,138.0,211.0,March,2024
RMP,0.0,0.0,0.0,0.0,0.0,11.0,2.0,2.0,4.0,13.0,59.0,0.0,0.0,145.0,0.0,145.0,236.0,March,2024
BMP,0.0,0.0,0.0,4.0,0.0,11.0,0.0,1.0,5.0,6.0,72.0,0.0,0.0,53.0,1.0,54.0,153.0,March,2024
SMP,0.0,1.0,3.0,6.0,0.0,17.0,1.0,1.0,8.0,8.0,67.0,0.0,0.0,35.0,10.0,45.0,157.0,March,2024
RPMP,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,8.0,50.0,1.0,0.0,57.0,0.0,58.0,126.0,March,2024
GMP,2.0,5.0,1.0,1.0,0.0,23.0,4.0,0.0,7.0,18.0,110.0,0.0,0.0,104.0,2.0,106.0,277.0,March,2024
Dhaka Range,11.0,32.0,60.0,23.0,2.0,247.0,3.0,8.0,39.0,108.0,1179.0,12.0,10.0,1007.0,1.0,1030.0,2742.0,March,2024
Mymensingh Range,0.0,2.0,23.0,2.0,0.0,115.0,3.0,2.0,3.0,55.0,525.0,1.0,0.0,275.0,27.0,303.0,1033.0,March,2024
Chittagong Range,6.0,30.0,33.0,8.0,4.0,151.0,11.0,5.0,29.0,122.0,1208.0,50.0,2.0,775.0,29.0,856.0,2463.0,March,2024
Sylhet Range,2.0,4.0,17.0,2.0,0.0,58.0,1.0,7.0,10.0,54.0,395.0,1.0,0.0,100.0,46.0,147.0,697.0,March,2024
Khulna Range,0.0,7.0,17.0,9.0,0.0,139.0,1.0,0.0,17.0,73.0,672.0,10.0,5.0,666.0,13.0,694.0,1629.0,March,2024
Barishal Range,2.0,2.0,15.0,11.0,0.0,150.0,0.0,2.0,10.0,26.0,507.0,1.0,2.0,215.0,0.0,218.0,943.0,March,2024
Rajshahi Range,1.0,6.0,25.0,4.0,0.0,205.0,5.0,6.0,5.0,87.0,874.0,38.0,4.0,1161.0,28.0,1231.0,2449.0,March,2024
Rangpur Range,0.0,7.0,20.0,4.0,0.0,203.0,5.0,4.0,9.0,63.0,703.0,1.0,0.0,535.0,4.0,540.0,1558.0,March,2024
Railway Range,,,,,,,,,,,,,,,,,,March,2024
Total,25.0,138.0,239.0,110.0,6.0,1509.0,51.0,43.0,217.0,865.0,7444.0,128.0,24.0,6289.0,192.0,6633.0,17280.0,March,2024
