unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,0.0,3.0,5.0,9.0,0.0,31.0,2.0,2.0,9.0,11.0,86.0,33.0,0.0,379.0,1.0,413.0,571.0,,
CMP,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,5.0,3.0,23.0,2.0,0.0,223.0,1.0,226.0,265.0,,
KMP,0.0,2.0,0.0,2.0,0.0,10.0,0.0,0.0,5.0,5.0,36.0,2.0,0.0,311.0,23.0,336.0,396.0,,
RMP,0.0,0.0,1.0,1.0,0.0,15.0,0.0,0.0,2.0,6.0,33.0,0.0,0.0,76.0,0.0,76.0,134.0,,
BMP,0.0,1.0,2.0,7.0,0.0,6.0,0.0,0.0,1.0,4.0,44.0,1.0,0.0,53.0,1.0,55.0,120.0,,
SMP,1.0,0.0,0.0,1.0,0.0,16.0,5.0,0.0,0.0,6.0,30.0,1.0,0.0,68.0,0.0,69.0,128.0,,
RPMP,0.0,4.0,3.0,1.0,0.0,16.0,0.0,0.0,1.0,6.0,68.0,10.0,0.0,175.0,3.0,188.0,287.0,,
GMP,5.0,7.0,53.0,4.0,0.0,193.0,9.0,7.0,21.0,79.0,812.0,10.0,,1647.0,7.0,1665.0,2855.0,,
Dhaka Range,0.0,1.0,22.0,5.0,0.0,80.0,3.0,4.0,10.0,27.0,358.0,2.0,0.0,530.0,5.0,537.0,1047.0,,
Mymensingh Range,8.0,3.0,55.0,12.0,0.0,149.0,10.0,4.0,34.0,57.0,775.0,52.0,0.0,1444.0,5.0,1501.0,2608.0,,
Chittagong Range,6.0,4.0,11.0,2.0,0.0,59.0,0.0,4.0,5.0,34.0,317.0,4.0,1.0,258.0,19.0,282.0,724.0,,
Sylhet Range,0.0,2.0,27.0,4.0,0.0,104.0,2.0,1.0,6.0,41.0,433.0,26.0,2.0,1099.0,34.0,1161.0,1781.0,,
Khulna Range,1.0,4.0,19.0,0.0,0.0,96.0,3.0,1.0,13.0,15.0,368.0,1.0,0.0,349.0,0.0,350.0,870.0,,
Barishal Range,2.0,3.0,32.0,3.0,0.0,128.0,6.0,6.0,3.0,25.0,445.0,27.0,3.0,1424.0,141.0,1595.0,2248.0,,
Rajshahi Range,0.0,0.0,14.0,1.0,0.0,160.0,1.0,3.0,8.0,40.0,529.0,2.0,0.0,649.0,94.0,745.0,1501.0,,
Rangpur Range,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,56.0,13.0,69.0,87.0,,
Railway Range,24.0,43.0,262.0,63.0,0.0,1217.0,45.0,37.0,165.0,493.0,4764.0,183.0,8.0,10003.0,355.0,10549.0,17662.0,,
Total,,,,,,,,,,,,,,,,,,,
